date,rainfall_mm,SPI_1,SPI_category
2004-10-01,120.69,0.45145979423610605,Near Normal
2004-11-01,150.32,1.6222325863050588,Very Wet
2004-12-01,37.13,-0.482836338022421,Near Normal
2005-01-01,84.42,2.6374981091037126,Extremely Wet
2005-02-01,41.66,0.06386980428551399,Near Normal
2005-03-01,38.59,-1.2304941833665513,Moderate Drought
2005-04-01,48.03,-1.0151733223348234,Moderate Drought
2005-05-01,104.66,-0.6437273755714097,Near Normal
2005-06-01,173.99,0.7705629586781194,Near Normal
2005-07-01,80.71000000000001,-0.4530828847002013,Near Normal
2005-08-01,213.89,1.7819994513782522,Very Wet
2005-09-01,65.31,-0.6140282840729918,Near Normal
2005-10-01,55.43,-0.7588650866150572,Near Normal
2005-11-01,23.47,-1.003221875859031,Moderate Drought
2005-12-01,21.96,-1.014479659018269,Moderate Drought
2006-01-01,24.74,-0.49606898325015775,Near Normal
2006-02-01,6.5,-1.4047180071904444,Moderate Drought
2006-03-01,93.3,0.4206225571515209,Near Normal
2006-04-01,129.43,0.31697839213981543,Near Normal
2006-05-01,103.63,-0.6602016724709546,Near Normal
2006-06-01,48.93,-1.4655171115280097,Moderate Drought
2006-07-01,91.56,-0.24152692684076837,Near Normal
2006-08-01,76.28,-0.4042935991429656,Near Normal
2006-09-01,50.68,-0.8557137462066955,Near Normal
2006-10-01,66.99,-0.544471037846448,Near Normal
2006-11-01,55.07000000000001,-0.3491867083037667,Near Normal
2006-12-01,81.89,1.085809347394464,Moderately Wet
2007-01-01,29.59,-0.2414141508453944,Near Normal
2007-02-01,21.29,-0.7869587998033731,Near Normal
2007-03-01,81.15,0.05394245484308433,Near Normal
2007-04-01,104.61,-0.08921332227370474,Near Normal
2007-05-01,182.63,0.6033609052611331,Near Normal
2007-06-01,319.72,3.3762238305087546,Extremely Wet
2007-07-01,135.26,0.6105463780861644,Near Normal
2007-08-01,34.56,-1.0671243968157016,Moderate Drought
2007-09-01,53.38,-0.8111101407548157,Near Normal
2007-10-01,112.6,0.3014210524940601,Near Normal
2007-11-01,9.17,-1.2991934864932169,Moderate Drought
2007-12-01,42.17,-0.30620599274759747,Near Normal
2008-01-01,21.35,-0.6740648351784354,Near Normal
2008-02-01,60.12,0.8349201740194786,Near Normal
2008-03-01,86.32,0.20997011977597438,Near Normal
2008-04-01,117.08,0.11486446494372453,Near Normal
2008-05-01,187.38,0.6793346045551509,Near Normal
2008-06-01,205.75,1.3384336050058552,Moderately Wet
2008-07-01,101.19,-0.053758827837419136,Near Normal
2008-08-01,89.03,-0.20172666073626894,Near Normal
2008-09-01,173.20999999999998,1.1684639486150885,Moderately Wet
2008-10-01,87.03999999999999,-0.1726197681396472,Near Normal
2008-11-01,59.150000000000006,-0.2647416613535934,Near Normal
2008-12-01,62.18,0.3950585328375649,Near Normal
2009-01-01,10.11,-1.2642339725453509,Moderate Drought
2009-02-01,26.85,-0.5547247772832841,Near Normal
2009-03-01,104.42,0.7562178442025349,Near Normal
2009-04-01,213.37,1.6906984770661198,Very Wet
2009-05-01,127.46,-0.27905361896012365,Near Normal
2009-06-01,154.16,0.4160014058859591,Near Normal
2009-07-01,95.24,-0.1697733853732373,Near Normal
2009-08-01,109.53,0.12396920101567475,Near Normal
2009-09-01,170.78,1.1283207037083973,Moderately Wet
2009-10-01,180.68,1.5640462116780505,Very Wet
2009-11-01,41.07,-0.6389491243092635,Near Normal
2009-12-01,70.32,0.6803305587377757,Near Normal
2010-01-01,27.44,-0.3543023755196708,Near Normal
2010-02-01,53.440000000000005,0.5559051973226813,Near Normal
2010-03-01,64.91,-0.43617152552638216,Near Normal
2010-04-01,89.36,-0.33878719998547674,Near Normal
2010-05-01,138.16000000000005,-0.10791286476096651,Near Normal
2010-06-01,143.46,0.22468478385488955,Near Normal
2010-07-01,165.95,1.2089475160314178,Moderately Wet
2010-08-01,31.08,-1.1224132552984707,Moderate Drought
2010-09-01,262.44,2.642530509530357,Extremely Wet
2010-10-01,28.68,-1.254975882857298,Moderate Drought
2010-11-01,62.49,-0.19561262782085356,Near Normal
2010-12-01,23.770000000000003,-0.9510469358144135,Near Normal
